author,s_count,s_mean,s_std,s_min,s_25,s_50,s_75,s_max,comp,neg,neu,pos,rating
mark martelli,39.0,6.16,2.13,1.1,6.0,6.8,7.3,9.0,-0.16,0.09,0.28,0.84,6.16
mark pytlik,143.0,6.96,1.65,2.6,6.0,7.4,8.15,9.3,-0.07,0.1,0.33,0.86,6.96
mark richard-san,173.0,7.25,1.29,2.5,6.5,7.5,8.1,9.6,-0.07,0.11,0.29,0.86,7.25
mark richard-san & ryan schreiber,2.0,6.1,0.0,6.1,6.1,6.1,6.1,6.1,-0.05,0.1,0.19,0.85,6.1
mark richardson,614.0,7.53,1.3,1.0,6.8,7.8,8.4,10.0,-0.06,0.1,0.3,0.87,7.54
mark richardson & nick sylvester,4.0,7.3,0.0,7.3,7.3,7.3,7.3,7.3,-0.11,0.09,0.31,0.86,7.3
martin clark,1.0,8.5,,8.5,8.5,8.5,8.5,8.5,-0.12,0.07,0.21,0.83,8.5
martin douglas,56.0,7.13,0.59,5.3,6.8,7.3,7.5,8.1,-0.08,0.11,0.35,0.86,7.13
matt kallman,10.0,7.27,0.87,5.1,7.1,7.4,7.62,8.2,-0.11,0.09,0.26,0.85,7.27
matt lemay,255.0,7.39,1.63,0.0,6.5,7.7,8.45,10.0,-0.09,0.12,0.33,0.83,7.37
matt stephens,5.0,4.56,2.29,2.6,2.6,4.7,4.7,8.2,-0.16,0.12,0.36,0.83,4.56
matt wellins,1.0,8.7,,8.7,8.7,8.7,8.7,8.7,-0.05,0.09,0.35,0.88,8.7
matthew grosinger,2.0,6.65,0.92,6.0,6.32,6.65,6.98,7.3,-0.11,0.1,0.32,0.83,6.65
matthew ismael ruiz,2.0,7.5,0.85,6.9,7.2,7.5,7.8,8.1,-0.1,0.08,0.27,0.86,7.5
matthew murphy,356.0,7.26,0.69,3.7,7.0,7.4,7.7,9.5,-0.08,0.09,0.32,0.87,7.26
matthew perpetua,90.0,6.64,1.47,2.0,6.2,6.7,7.6,10.0,-0.07,0.13,0.37,0.84,6.64
matthew ramirez,30.0,6.31,1.17,4.0,5.35,6.7,7.2,8.5,-0.07,0.11,0.33,0.85,6.31
matthew schnipper,3.0,7.13,1.61,5.3,6.55,7.8,8.05,8.3,-0.01,0.12,0.28,0.86,7.13
matthew solarski,22.0,7.27,0.59,6.0,7.0,7.3,7.68,8.3,-0.09,0.1,0.34,0.86,7.27
matthew stephens,2.0,8.15,0.35,7.9,8.02,8.15,8.28,8.4,-0.03,0.15,0.46,0.85,8.15
matthew strauss,16.0,6.59,0.7,5.0,6.28,6.75,7.12,7.5,-0.08,0.11,0.31,0.84,6.59
matthew wellins,7.0,5.77,1.46,3.3,5.15,5.4,7.1,7.2,-0.1,0.1,0.32,0.85,5.77
maud deitch,5.0,5.74,2.16,2.0,6.2,6.3,6.6,7.6,-0.06,0.08,0.29,0.88,5.74
maura johnston,2.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,-0.13,0.09,0.35,0.82,10.0
max mertens,2.0,7.3,0.71,6.8,7.05,7.3,7.55,7.8,-0.09,0.1,0.41,0.86,7.3
meaghan garvey,40.0,7.11,1.04,3.0,6.88,7.25,7.62,8.4,-0.08,0.1,0.32,0.86,7.11
meg zamula,8.0,6.75,0.87,5.8,5.95,6.65,7.52,8.0,-0.05,0.11,0.28,0.86,6.75
mehan jayasuriya,28.0,6.44,0.83,4.7,6.12,6.65,6.93,8.0,-0.06,0.1,0.3,0.86,6.44
melody lau,2.0,6.6,0.71,6.1,6.35,6.6,6.85,7.1,-0.12,0.08,0.35,0.9,6.1
mia clarke,31.0,7.32,0.94,4.5,6.9,7.5,8.0,8.3,-0.04,0.13,0.41,0.86,7.32
mia lily clarke,25.0,7.29,0.61,6.2,6.8,7.0,7.7,8.4,-0.08,0.1,0.32,0.86,7.29
michael bernstein,5.0,7.32,1.28,6.0,6.0,7.7,8.0,8.9,-0.11,0.09,0.23,0.86,7.32
michael idov,45.0,6.02,2.14,0.8,5.1,6.4,7.7,8.7,-0.11,0.1,0.26,0.85,6.02
michael j. agovino,2.0,7.95,0.64,7.5,7.72,7.95,8.18,8.4,-0.02,0.1,0.31,0.88,7.95
michael sandlin,26.0,5.67,2.37,0.3,4.4,6.3,7.3,8.6,-0.14,0.1,0.27,0.81,5.67
michael wartenbe,2.0,7.6,0.0,7.6,7.6,7.6,7.6,7.6,-0.08,0.09,0.26,0.87,7.6
mike bernstein,5.0,8.44,0.13,8.2,8.5,8.5,8.5,8.5,-0.08,0.1,0.28,0.84,8.44
mike madden,9.0,6.74,0.65,5.5,6.5,6.8,7.0,7.6,-0.08,0.09,0.31,0.88,6.74
mike mcgonigal,17.0,8.04,0.44,6.8,7.8,8.2,8.3,8.6,-0.09,0.1,0.28,0.86,8.04
mike orme,50.0,6.81,0.86,4.5,6.43,6.85,7.4,8.5,-0.08,0.1,0.31,0.85,6.81
mike powell,203.0,7.33,1.08,3.5,6.9,7.5,8.0,10.0,-0.08,0.1,0.29,0.86,7.33
miles raymer,116.0,7.09,0.88,3.9,6.6,7.2,7.7,9.0,-0.06,0.11,0.37,0.87,7.09
minna zhou,11.0,7.14,0.66,5.8,6.9,7.3,7.55,8.0,-0.05,0.07,0.23,0.91,7.14
minna zhou ,1.0,7.4,,7.4,7.4,7.4,7.4,7.4,-0.02,0.1,0.33,0.88,7.4
molly beauchemin,5.0,6.68,0.36,6.2,6.4,6.9,6.9,7.0,-0.07,0.11,0.35,0.85,6.68
mosi reeves,6.0,6.93,0.39,6.3,6.82,6.95,7.07,7.5,-0.08,0.09,0.24,0.86,6.93
natalie moore,1.0,5.7,,5.7,5.7,5.7,5.7,5.7,-0.28,0.07,0.25,0.78,5.7
nate patrin,427.0,7.04,1.23,2.8,6.5,7.3,7.8,10.0,-0.1,0.09,0.32,0.86,7.04
nate patrin ,3.0,5.6,0.0,5.6,5.6,5.6,5.6,5.6,-0.05,0.1,0.38,0.86,5.6
nathan humpal,1.0,7.5,,7.5,7.5,7.5,7.5,7.5,-0.16,0.11,0.31,0.86,7.5
nathan reese,18.0,6.88,0.9,4.9,6.52,7.2,7.5,8.0,-0.08,0.1,0.29,0.87,6.88
nathan rooney,13.0,6.92,1.7,4.2,5.6,7.0,8.5,9.0,-0.09,0.11,0.28,0.85,6.92
